clip,family,tag,cov,conf
q06_deadlift,weight,weight_m,0.158,0.342
q07_valida,bar_hub,hub_btrk_b,1.0,0.764
q07_valida,bar_hub,hub_btrk_l,1.0,0.769
q07_valida,bar_hub,hub_smoke,1.0,0.595
q07_valida,bar_hub,hub_v1,1.0,0.697
q07_valida,bar_hub,hub_v2b,1.0,0.706
q07_valida,bar_hub,hub_v2l,1.0,0.728
q07_valida,bar_hub,hub_pwai,1.0,0.93
q07_valida,plates,plt_pw,1.0,0.946
q07_valida,plates,plt_prod,1.0,0.739
q07_valida,plates,plt_20b,1.0,0.846
q07_valida,plates,plt_20l,1.0,0.94
q07_valida,plates,plt_only,1.0,0.739
q07_valida,plates,plt_pwl,1.0,0.587
q07_valida,keypoints,kp_old,1.0,0.913
q07_valida,keypoints,kp_misc,1.0,0.905
q07_valida,keypoints,kp_skel17,1.0,0.895
q07_valida,keypoints,kp_v3b,1.0,0.825
q07_valida,keypoints,kp_v3l,1.0,0.871
q07_valida,keypoints,kp_20sep,1.0,0.864
q07_valida,segmentation,seg_pw,0.933,0.68
q07_valida,segmentation,seg_v1,0.342,0.49
q07_valida,segmentation,seg_v2b,1.0,0.728
q07_valida,segmentation,seg_v2l,0.867,0.752
q07_valida,lift,lift_prod,1.0,0.776
q07_valida,lift,lift_newv,1.0,0.978
q07_valida,view,view_v2,1.0,1.0
q07_valida,weight,weight_m,0.0,0.0
q08_nula,bar_hub,hub_btrk_b,0.075,0.574
q08_nula,bar_hub,hub_btrk_l,0.058,0.653
q08_nula,bar_hub,hub_smoke,0.875,0.327
q08_nula,bar_hub,hub_v1,1.0,0.656
q08_nula,bar_hub,hub_v2b,1.0,0.877
q08_nula,bar_hub,hub_v2l,1.0,0.878
q08_nula,bar_hub,hub_pwai,1.0,0.752
q08_nula,plates,plt_pw,1.0,0.959
q08_nula,plates,plt_prod,1.0,0.867
q08_nula,plates,plt_20b,1.0,0.907
q08_nula,plates,plt_20l,1.0,0.918
q08_nula,plates,plt_only,1.0,0.867
q08_nula,plates,plt_pwl,1.0,0.859
q08_nula,keypoints,kp_old,1.0,0.824
q08_nula,keypoints,kp_misc,1.0,0.831
q08_nula,keypoints,kp_skel17,1.0,0.813
q08_nula,keypoints,kp_v3b,1.0,0.758
q08_nula,keypoints,kp_v3l,1.0,0.837
q08_nula,keypoints,kp_20sep,1.0,0.869
q08_nula,segmentation,seg_pw,1.0,0.784
q08_nula,segmentation,seg_v1,0.658,0.797
q08_nula,segmentation,seg_v2b,0.65,0.821
q08_nula,segmentation,seg_v2l,0.65,0.895
q08_nula,lift,lift_prod,1.0,1.0
q08_nula,lift,lift_newv,1.0,0.996
q08_nula,view,view_v2,1.0,0.778
q08_nula,weight,weight_m,0.0,0.0
q09_other,bar_hub,hub_btrk_b,0.975,0.784
q09_other,bar_hub,hub_btrk_l,0.975,0.799
q09_other,bar_hub,hub_smoke,1.0,0.661
q09_other,bar_hub,hub_v1,1.0,0.812
q09_other,bar_hub,hub_v2b,1.0,0.883
q09_other,bar_hub,hub_v2l,1.0,0.884
q09_other,bar_hub,hub_pwai,1.0,0.941
q09_other,plates,plt_pw,0.908,0.681
q09_other,plates,plt_prod,1.0,0.808
q09_other,plates,plt_20b,1.0,0.857
q09_other,plates,plt_20l,1.0,0.947
q09_other,plates,plt_only,1.0,0.808
q09_other,plates,plt_pwl,1.0,0.809
q09_other,keypoints,kp_old,1.0,0.772
q09_other,keypoints,kp_misc,1.0,0.747
q09_other,keypoints,kp_skel17,1.0,0.775
q09_other,keypoints,kp_v3b,1.0,0.746
q09_other,keypoints,kp_v3l,1.0,0.824
q09_other,keypoints,kp_20sep,1.0,0.807
q09_other,segmentation,seg_pw,1.0,0.492
q09_other,segmentation,seg_v1,0.925,0.439
q09_other,segmentation,seg_v2b,1.0,0.737
q09_other,segmentation,seg_v2l,0.933,0.527
q09_other,lift,lift_prod,1.0,0.695
q09_other,lift,lift_newv,1.0,0.931
q09_other,view,view_v2,1.0,1.0
q09_other,weight,weight_m,0.0,0.0
